ArrayMulti,131072,1024,128,2.341282
ArrayMultiAdd,131072,1024,128,2.645674
ArrayMultiReduce,131072,1024,128,2.792033
ArrayMultiReduceDouble,131072,1024,128,0.584814
ArrayMulti,262144,8,32768,0.793455
ArrayMultiAdd,262144,8,32768,2.645247
ArrayMultiReduce,262144,8,32768,1.096484
ArrayMultiReduceDouble,262144,8,32768,0.923280
ArrayMulti,262144,16,16384,0.974046
ArrayMultiAdd,262144,16,16384,3.812671
ArrayMultiReduce,262144,16,16384,1.430012
ArrayMultiReduceDouble,262144,16,16384,1.213197
ArrayMulti,262144,32,8192,0.901929
ArrayMultiAdd,262144,32,8192,4.764695
ArrayMultiReduce,262144,32,8192,1.226921
ArrayMultiReduceDouble,262144,32,8192,1.256436
ArrayMulti,262144,64,4096,1.036052
ArrayMultiAdd,262144,64,4096,5.022782
ArrayMultiReduce,262144,64,4096,1.176599
ArrayMultiReduceDouble,262144,64,4096,1.265052
ArrayMulti,262144,128,2048,0.967607
ArrayMultiAdd,262144,128,2048,5.300228
ArrayMultiReduce,262144,128,2048,0.881586
ArrayMultiReduceDouble,262144,128,2048,1.496982
ArrayMulti,262144,256,1024,0.959230
ArrayMultiAdd,262144,256,1024,5.302909
ArrayMultiReduce,262144,256,1024,1.338002
ArrayMultiReduceDouble,262144,256,1024,1.334039
ArrayMulti,262144,512,512,1.029130
ArrayMultiAdd,262144,512,512,5.282712
ArrayMultiReduce,262144,512,512,1.525503
ArrayMultiReduceDouble,262144,512,512,1.078738
ArrayMulti,262144,1024,256,0.882860
ArrayMultiAdd,262144,1024,256,5.684201
ArrayMultiReduce,262144,1024,256,1.342628
ArrayMultiReduceDouble,262144,1024,256,1.462849
ArrayMulti,524288,8,65536,1.433613
ArrayMultiAdd,524288,8,65536,1.619918
ArrayMultiReduce,524288,8,65536,1.574396
ArrayMultiReduceDouble,524288,8,65536,1.461328
ArrayMulti,524288,16,32768,1.615610
ArrayMultiAdd,524288,16,32768,1.870967
ArrayMultiReduce,524288,16,32768,2.253374
ArrayMultiReduceDouble,524288,16,32768,1.933857
ArrayMulti,524288,32,16384,1.776236
ArrayMultiAdd,524288,32,16384,1.602911
ArrayMultiReduce,524288,32,16384,1.820950
ArrayMultiReduceDouble,524288,32,16384,1.138939
